time,word,subject,count
2019-05-06T00:45:00Z,fuck,jon snow,1
2019-05-06T00:45:00Z,fuck,daenerys,0
2019-05-06T00:45:00Z,fuck,cersei,5
2019-05-06T00:45:00Z,fuck,tyrion,1
2019-05-06T00:45:00Z,fuck,arya,4
2019-05-06T00:45:00Z,fuck,sansa,4
2019-05-06T00:45:00Z,fuck,jaime,2
2019-05-06T00:45:00Z,shit,jon snow,0
2019-05-06T00:45:00Z,shit,daenerys,0
2019-05-06T00:45:00Z,shit,cersei,2
2019-05-06T00:45:00Z,shit,tyrion,1
2019-05-06T00:45:00Z,shit,arya,2
2019-05-06T00:45:00Z,shit,sansa,2
2019-05-06T00:45:00Z,shit,jaime,0
2019-05-06T00:45:00Z,bitch,jon snow,0
2019-05-06T00:45:00Z,bitch,daenerys,0
2019-05-06T00:45:00Z,bitch,cersei,0
2019-05-06T00:45:00Z,bitch,tyrion,0
2019-05-06T00:45:00Z,bitch,arya,1
2019-05-06T00:45:00Z,bitch,sansa,1
2019-05-06T00:45:00Z,bitch,jaime,0
2019-05-06T00:45:00Z,ass,jon snow,0
2019-05-06T00:45:00Z,ass,daenerys,0
2019-05-06T00:45:00Z,ass,cersei,1
2019-05-06T00:45:00Z,ass,tyrion,0
2019-05-06T00:45:00Z,ass,arya,0
2019-05-06T00:45:00Z,ass,sansa,0
2019-05-06T00:45:00Z,ass,jaime,0
2019-05-06T00:45:00Z,dick,jon snow,0
2019-05-06T00:45:00Z,dick,daenerys,0
2019-05-06T00:45:00Z,dick,cersei,0
2019-05-06T00:45:00Z,dick,tyrion,0
2019-05-06T00:45:00Z,dick,arya,0
2019-05-06T00:45:00Z,dick,sansa,0
2019-05-06T00:45:00Z,dick,jaime,0
2019-05-06T00:46:00Z,fuck,jon snow,3
2019-05-06T00:46:00Z,fuck,daenerys,2
2019-05-06T00:46:00Z,fuck,cersei,3
2019-05-06T00:46:00Z,fuck,tyrion,0
2019-05-06T00:46:00Z,fuck,arya,4
2019-05-06T00:46:00Z,fuck,sansa,3
2019-05-06T00:46:00Z,fuck,jaime,3
2019-05-06T00:46:00Z,shit,jon snow,3
2019-05-06T00:46:00Z,shit,daenerys,0
2019-05-06T00:46:00Z,shit,cersei,0
2019-05-06T00:46:00Z,shit,tyrion,0
2019-05-06T00:46:00Z,shit,arya,0
2019-05-06T00:46:00Z,shit,sansa,0
2019-05-06T00:46:00Z,shit,jaime,1
2019-05-06T00:46:00Z,bitch,jon snow,0
2019-05-06T00:46:00Z,bitch,daenerys,2
2019-05-06T00:46:00Z,bitch,cersei,1
2019-05-06T00:46:00Z,bitch,tyrion,1
2019-05-06T00:46:00Z,bitch,arya,2
2019-05-06T00:46:00Z,bitch,sansa,1
2019-05-06T00:46:00Z,bitch,jaime,1
2019-05-06T00:46:00Z,ass,jon snow,0
2019-05-06T00:46:00Z,ass,daenerys,0
2019-05-06T00:46:00Z,ass,cersei,1
2019-05-06T00:46:00Z,ass,tyrion,0
2019-05-06T00:46:00Z,ass,arya,1
2019-05-06T00:46:00Z,ass,sansa,1
2019-05-06T00:46:00Z,ass,jaime,0
2019-05-06T00:46:00Z,dick,jon snow,0
2019-05-06T00:46:00Z,dick,daenerys,0
2019-05-06T00:46:00Z,dick,cersei,0
2019-05-06T00:46:00Z,dick,tyrion,0
2019-05-06T00:46:00Z,dick,arya,0
2019-05-06T00:46:00Z,dick,sansa,0
2019-05-06T00:46:00Z,dick,jaime,0
2019-05-06T00:47:00Z,fuck,jon snow,0
2019-05-06T00:47:00Z,fuck,daenerys,0
2019-05-06T00:47:00Z,fuck,cersei,0
2019-05-06T00:47:00Z,fuck,tyrion,0
2019-05-06T00:47:00Z,fuck,arya,0
2019-05-06T00:47:00Z,fuck,sansa,0
2019-05-06T00:47:00Z,fuck,jaime,0
2019-05-06T00:47:00Z,shit,jon snow,0
2019-05-06T00:47:00Z,shit,daenerys,0
2019-05-06T00:47:00Z,shit,cersei,0
2019-05-06T00:47:00Z,shit,tyrion,0
2019-05-06T00:47:00Z,shit,arya,0
2019-05-06T00:47:00Z,shit,sansa,0
2019-05-06T00:47:00Z,shit,jaime,0
2019-05-06T00:47:00Z,bitch,jon snow,0
2019-05-06T00:47:00Z,bitch,daenerys,0
2019-05-06T00:47:00Z,bitch,cersei,0
2019-05-06T00:47:00Z,bitch,tyrion,0
2019-05-06T00:47:00Z,bitch,arya,0
2019-05-06T00:47:00Z,bitch,sansa,0
2019-05-06T00:47:00Z,bitch,jaime,0
2019-05-06T00:47:00Z,ass,jon snow,0
2019-05-06T00:47:00Z,ass,daenerys,0
2019-05-06T00:47:00Z,ass,cersei,0
2019-05-06T00:47:00Z,ass,tyrion,0
2019-05-06T00:47:00Z,ass,arya,0
2019-05-06T00:47:00Z,ass,sansa,0
2019-05-06T00:47:00Z,ass,jaime,0
2019-05-06T00:47:00Z,dick,jon snow,0
2019-05-06T00:47:00Z,dick,daenerys,0
2019-05-06T00:47:00Z,dick,cersei,0
2019-05-06T00:47:00Z,dick,tyrion,0
2019-05-06T00:47:00Z,dick,arya,0
2019-05-06T00:47:00Z,dick,sansa,0
2019-05-06T00:47:00Z,dick,jaime,0
2019-05-06T00:48:00Z,fuck,jon snow,0
2019-05-06T00:48:00Z,fuck,daenerys,0
2019-05-06T00:48:00Z,fuck,cersei,0
2019-05-06T00:48:00Z,fuck,tyrion,0
2019-05-06T00:48:00Z,fuck,arya,0
2019-05-06T00:48:00Z,fuck,sansa,0
2019-05-06T00:48:00Z,fuck,jaime,0
2019-05-06T00:48:00Z,shit,jon snow,0
2019-05-06T00:48:00Z,shit,daenerys,0
2019-05-06T00:48:00Z,shit,cersei,0
2019-05-06T00:48:00Z,shit,tyrion,0
2019-05-06T00:48:00Z,shit,arya,0
2019-05-06T00:48:00Z,shit,sansa,0
2019-05-06T00:48:00Z,shit,jaime,0
2019-05-06T00:48:00Z,bitch,jon snow,0
2019-05-06T00:48:00Z,bitch,daenerys,0
2019-05-06T00:48:00Z,bitch,cersei,0
2019-05-06T00:48:00Z,bitch,tyrion,0
2019-05-06T00:48:00Z,bitch,arya,0
2019-05-06T00:48:00Z,bitch,sansa,0
2019-05-06T00:48:00Z,bitch,jaime,0
2019-05-06T00:48:00Z,ass,jon snow,0
2019-05-06T00:48:00Z,ass,daenerys,0
2019-05-06T00:48:00Z,ass,cersei,0
2019-05-06T00:48:00Z,ass,tyrion,0
2019-05-06T00:48:00Z,ass,arya,0
2019-05-06T00:48:00Z,ass,sansa,0
2019-05-06T00:48:00Z,ass,jaime,0
2019-05-06T00:48:00Z,dick,jon snow,0
2019-05-06T00:48:00Z,dick,daenerys,0
2019-05-06T00:48:00Z,dick,cersei,0
2019-05-06T00:48:00Z,dick,tyrion,0
2019-05-06T00:48:00Z,dick,arya,0
2019-05-06T00:48:00Z,dick,sansa,0
2019-05-06T00:48:00Z,dick,jaime,0
2019-05-06T00:49:00Z,fuck,jon snow,0
2019-05-06T00:49:00Z,fuck,daenerys,0
2019-05-06T00:49:00Z,fuck,cersei,0
2019-05-06T00:49:00Z,fuck,tyrion,0
2019-05-06T00:49:00Z,fuck,arya,0
2019-05-06T00:49:00Z,fuck,sansa,0
2019-05-06T00:49:00Z,fuck,jaime,0
2019-05-06T00:49:00Z,shit,jon snow,0
2019-05-06T00:49:00Z,shit,daenerys,0
2019-05-06T00:49:00Z,shit,cersei,0
2019-05-06T00:49:00Z,shit,tyrion,0
2019-05-06T00:49:00Z,shit,arya,0
2019-05-06T00:49:00Z,shit,sansa,0
2019-05-06T00:49:00Z,shit,jaime,0
2019-05-06T00:49:00Z,bitch,jon snow,0
2019-05-06T00:49:00Z,bitch,daenerys,0
2019-05-06T00:49:00Z,bitch,cersei,0
2019-05-06T00:49:00Z,bitch,tyrion,0
2019-05-06T00:49:00Z,bitch,arya,0
2019-05-06T00:49:00Z,bitch,sansa,0
2019-05-06T00:49:00Z,bitch,jaime,0
2019-05-06T00:49:00Z,ass,jon snow,0
2019-05-06T00:49:00Z,ass,daenerys,0
2019-05-06T00:49:00Z,ass,cersei,0
2019-05-06T00:49:00Z,ass,tyrion,0
2019-05-06T00:49:00Z,ass,arya,0
2019-05-06T00:49:00Z,ass,sansa,0
2019-05-06T00:49:00Z,ass,jaime,0
2019-05-06T00:49:00Z,dick,jon snow,0
2019-05-06T00:49:00Z,dick,daenerys,0
2019-05-06T00:49:00Z,dick,cersei,0
2019-05-06T00:49:00Z,dick,tyrion,0
2019-05-06T00:49:00Z,dick,arya,0
2019-05-06T00:49:00Z,dick,sansa,0
2019-05-06T00:49:00Z,dick,jaime,0
2019-05-06T00:50:00Z,fuck,jon snow,0
2019-05-06T00:50:00Z,fuck,daenerys,0
2019-05-06T00:50:00Z,fuck,cersei,0
2019-05-06T00:50:00Z,fuck,tyrion,0
2019-05-06T00:50:00Z,fuck,arya,0
2019-05-06T00:50:00Z,fuck,sansa,0
2019-05-06T00:50:00Z,fuck,jaime,0
2019-05-06T00:50:00Z,shit,jon snow,0
2019-05-06T00:50:00Z,shit,daenerys,0
2019-05-06T00:50:00Z,shit,cersei,0
2019-05-06T00:50:00Z,shit,tyrion,0
2019-05-06T00:50:00Z,shit,arya,0
2019-05-06T00:50:00Z,shit,sansa,0
2019-05-06T00:50:00Z,shit,jaime,0
2019-05-06T00:50:00Z,bitch,jon snow,0
2019-05-06T00:50:00Z,bitch,daenerys,0
2019-05-06T00:50:00Z,bitch,cersei,0
2019-05-06T00:50:00Z,bitch,tyrion,0
2019-05-06T00:50:00Z,bitch,arya,0
2019-05-06T00:50:00Z,bitch,sansa,0
2019-05-06T00:50:00Z,bitch,jaime,0
2019-05-06T00:50:00Z,ass,jon snow,0
2019-05-06T00:50:00Z,ass,daenerys,0
2019-05-06T00:50:00Z,ass,cersei,0
2019-05-06T00:50:00Z,ass,tyrion,0
2019-05-06T00:50:00Z,ass,arya,0
2019-05-06T00:50:00Z,ass,sansa,0
2019-05-06T00:50:00Z,ass,jaime,0
2019-05-06T00:50:00Z,dick,jon snow,0
2019-05-06T00:50:00Z,dick,daenerys,0
2019-05-06T00:50:00Z,dick,cersei,0
2019-05-06T00:50:00Z,dick,tyrion,0
2019-05-06T00:50:00Z,dick,arya,0
2019-05-06T00:50:00Z,dick,sansa,0
2019-05-06T00:50:00Z,dick,jaime,0
2019-05-06T00:51:00Z,fuck,jon snow,0
2019-05-06T00:51:00Z,fuck,daenerys,0
2019-05-06T00:51:00Z,fuck,cersei,0
2019-05-06T00:51:00Z,fuck,tyrion,0
2019-05-06T00:51:00Z,fuck,arya,0
2019-05-06T00:51:00Z,fuck,sansa,0
2019-05-06T00:51:00Z,fuck,jaime,0
2019-05-06T00:51:00Z,shit,jon snow,0
2019-05-06T00:51:00Z,shit,daenerys,0
2019-05-06T00:51:00Z,shit,cersei,0
2019-05-06T00:51:00Z,shit,tyrion,0
2019-05-06T00:51:00Z,shit,arya,0
